title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree,RIndex,No. of Positions,regional_language
Teaching (Abacus),GEMA Education Technology Private Limited,Work From Home,Immediately,6,2000,Yes,Hybrid,Urban,Software Development,"Teaching, Lesson Planning, Communication, Mentoring",28-10-25,MBA,1.1,5,Telugu
Leads Generation/Inside Sales,AntWalk,Work From Home,Immediately,6,10000,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",11-09-25,MBA,1.3,11,Kannada
AI Procurement Chatbot Based On Bubble.io And Open AI,"Graynomics (Houston, United States)",Work From Home,Immediately,6,5000,Yes,Remote,Rural,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, PR Strategy, Media Relations",12-09-25,BSc,1.3,8,Hindi
Volunteering,Adore Earth,Work From Home,Immediately,6,Unpaid,Yes,Hybrid,Urban,Research,"Communication, MS Excel, Research",01-10-25,BCom,0.3,15,Gujarati
Business Development (Sales),Atelierish Media,Kolkata,Immediately,6,7000,Yes,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",26-10-25,BSc,0.3,19,Bengali
Applied Thermodynamics Teaching,Paathshala Spark,Work From Home,Immediately,6,1000,No,Hybrid,Urban,Software Development,"Teaching, Lesson Planning, Communication, Mentoring",06-11-25,MBA,0.8,6,Telugu
Search Engine Optimization (SEO),Codefeast,Work From Home,Immediately,6,1000,Yes,Remote,Rural,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",05-10-25,BBA,1,21,Telugu
Digital Marketing,ActiveLoc,Bangalore,Immediately,6,12000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",20-11-25,MBA,0.3,28,Kannada
Business Development (Sales),Simple Enterprises,Work From Home,Immediately,6,1000,No,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",02-12-25,BSc,0.2,16,Bengali
Mechanics Teaching,Paathshala Spark,Work From Home,Immediately,6,1000,No,Remote,Urban,Finance,"Teaching, Lesson Planning, Communication, Mentoring",10-10-25,BCom,0,2,Tamil
Lead Generation Specialist,297 Digital,Work From Home,Immediately,6,5000,No,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",20-09-25,BCom,0.8,7,Gujarati
UI/UX Design Developement,Bootstrap Digital Solutions,Delhi,Immediately,6,3000,No,Hybrid,Urban,Design & Creative,"UI Design, UX Research, Figma, Prototyping",11-11-25,BBA,1.1,18,Hindi
Subject Matter Expert (SME) - Economics,Endeavor Academy,Work From Home,Immediately,6,5000,Yes,Hybrid,Rural,Research & Strategy,"Economics, Data Analysis, Research, Report Writing",22-11-25,MTech,1.3,5,Punjabi
Subject Matter Expert - Physics,Endeavor Academy,Work From Home,Immediately,6,5000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",22-10-25,MBA,1,21,Bengali
Business Development (Sales),AulaCube Technologies Private Limited,Work From Home,Immediately,6,4000,No,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",22-11-25,MTech,1,9,Tamil
T3 Stack Development,Metaverse Ventures Private Limited,Work From Home,Immediately,6,25000,No,Remote,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",31-10-25,BCA,1.3,1,Hindi
User Research,Ostello India Private Limited,Work From Home,Immediately,6,3000,No,Hybrid,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",30-11-25,MBA,1,23,Gujarati
"Share Broking, Investment & Personal Finance",MAK Securities,Kolkata,Immediately,6,8000,No,Remote,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",09-11-25,MCom,1.3,8,Bengali
Onboarding Management,Hivyu Prive,Mumbai,Immediately,6,6000,No,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",09-11-25,MCom,0.8,7,Marathi
Sales,Qriocity Ventures Private Limited,Work From Home,Immediately,6,5000,No,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",13-09-25,MBA,0,8,Hindi
Business Development (Sales),Yardstick,Work From Home,Immediately,6,5000,Yes,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",27-10-25,BCA,0,20,Gujarati
Law/Legal,M A GANI ASSOCIATES,Navi Mumbai,Immediately,6,2500,Yes,Remote,Rural,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",05-11-25,MSc,1,29,Hindi
Business Development (Sales),Yodaplus Technologies,Work From Home,Immediately,6,5000,Yes,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",15-10-25,BSc,0.3,22,Punjabi
Business Development (Sales),BookMySuites,Agartala,Immediately,6,6000,Yes,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",24-11-25,BSc,0.3,11,Hindi
WordPress Web Design And Digital Marketing,Credofy Solutions,Delhi,Immediately,6,5000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, PR Strategy, Media Relations",21-11-25,MBA,0.8,13,Hindi
Campus Ambassador,TopUni Network,Ahmedabad,Immediately,6,Performance Based,Yes,Hybrid,Urban,Marketing,"Marketing, Communication, Networking, Leadership",15-11-25,BBA,0.8,3,Gujarati
Statistics And Probability (Subject Matter Expert),HaZZten,Work From Home,Immediately,6,10000,No,Onsite,Urban,Research & Strategy,"Statistics, Data Analysis, R, Python, PR Strategy, Media Relations",27-11-25,MSc,0.8,10,Punjabi
Tele-sales,BizUp,Work From Home,Immediately,3,8000,No,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",25-10-25,BCom,1.3,13,Hindi
Human Resources (HR),PassionMojo Private Limited,Work From Home,Immediately,3,2000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",24-11-25,BCom,0.8,10,Bengali
Subject Matter Expert (Economics),Innovalance Learning Systems,Work From Home,Immediately,3,12000,No,Onsite,Rural,Research & Strategy,"Economics, Data Analysis, Research, Report Writing",15-10-25,MSc,1,29,Punjabi
Social Media And Content Marketing,Topsdraw Insights Private Limited,Work From Home,Immediately,3,7500,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",09-10-25,BBA,0,7,Bengali
Business Development (Sales),Greendzine Technologies,Bangalore,Immediately,3,18000,Yes,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",18-11-25,MCA,0.2,7,Kannada
Instructional Design,Avaesa,Work From Home,Immediately,3,8000,Yes,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",19-09-25,MCom,0.8,8,Marathi
Sports Content Writing (Tennis),FirstSportz,Work From Home,Immediately,3,6000,Yes,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",17-11-25,PhD,1.1,16,Kannada
Recruitment Consultant,Hiring Trendz Placement Services,Delhi,Immediately,3,5000,No,Hybrid,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",05-12-25,BBA,0.2,19,Hindi
Nursing (Subject Matter Expert),HaZZten,Work From Home,Immediately,3,10000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",17-11-25,BCom,1,6,Tamil
Business Development (Sales),Wardrobe of a Monk,Work From Home,Immediately,3,10000,Yes,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",28-10-25,BSc,0.2,29,Kannada
Field Sales,K12 Techno Services Private Limited,Indore,Immediately,3,15000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",23-09-25,BBA,0,2,Hindi
Business Development (Sales),Social Agni,Work From Home,Immediately,3,2500,No,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",22-09-25,BTech,0,26,Gujarati
Lead Generation,Unity Internet Private Limited,Work From Home,Immediately,3,2000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",25-10-25,BBA,0,7,Kannada
Full Stack Development,Zversal,Mohali,Not specified,3,7500,No,Onsite,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",26-11-25,BCA,0.3,28,Hindi
Social Media Marketing,Gupta H K & Associates,Work From Home,Immediately,3,4000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",24-11-25,BBA,0.3,22,Telugu
Social Media Marketing,Demystik,Mohali,Immediately,3,8000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",24-11-25,MBA,0,19,Hindi
Digital Marketing,Easy To Pitch,Work From Home,Immediately,3,8000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",17-09-25,BA,0.5,19,Bengali
Social Media Marketing,Shree Vidhyaguru Foundation,Work From Home,Immediately,3,Unpaid,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",22-10-25,BBA,1,24,Marathi
Search Engine Optimization (SEO),INDMoney,Gurgaon,Immediately,3,15000,Yes,Remote,Rural,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",09-11-25,MA,0.2,25,Hindi
Video Making/Editing,EazyFixit,Pune,Immediately,3,8000,Yes,Onsite,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",02-12-25,MBA,0.5,6,Marathi
Marketing,B B Advisory,Work From Home,Immediately,3,2000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",18-09-25,MBA,0.5,13,Gujarati
Human Resources (HR),Yhills Edutech Private Limited,Noida,Immediately,3,10000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",24-09-25,MCom,0.2,8,Hindi
Product Management,Stylework,Gurgaon,Immediately,3,10000,No,Remote,Urban,Research & Strategy,"PR Strategy, Media Relations, Communication, Writing",28-09-25,MCom,0,3,Hindi
Finance,B B Advisory,Work From Home,Immediately,3,2000,Yes,Onsite,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",02-11-25,MBA,0.5,10,Gujarati
Hindi Documentation/Hindi Module Making,Refining Skills Academy (RS Academy),Work From Home,Immediately,3,1000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",29-09-25,MCom,1.1,18,Kannada
Business Development (Sales),HowNWhy Education Solutions Private Limited,Work From Home,Immediately,3,20000,Yes,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",10-09-25,BTech,0.8,1,Punjabi
HR,Kalp Solutions,Work From Home,Immediately,3,5000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",20-09-25,BBA,0.8,11,Hindi
Full Stack Development With Experience Of Data Analytics,Health Hub India,Work From Home,Immediately,3,30000,Yes,Remote,Urban,Web Development,"Python, Data Analysis, SQL, Statistics, Data Visualization",21-09-25,MTech,0.8,6,Hindi
"Content Writing For CA, CS, CMA",Unique Academy For Commerce,Work From Home,Immediately,3,3000,No,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",08-11-25,MBA,1.3,4,Bengali
Content Writing,Bytesflow Technologies,Chennai,Immediately,3,5000,Yes,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",15-10-25,MTech,1,14,Tamil
Presales Lead Business Analyst,Enhanceyaa,Jaipur,Immediately,3,7000,Yes,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication, PR Strategy, Media Relations",26-11-25,MBA,0.3,8,Hindi
Digital Marketing,Mediallianz Digital,Mumbai,Immediately,3,2500,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",15-10-25,BBA,0.5,15,Marathi
Digital Marketing,VCN,Pune,Immediately,3,5000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",09-10-25,BA,1,13,Marathi
Marketing & Sales,Creative Brain Design,Work From Home,Immediately,3,2000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",28-11-25,BA,1,22,Telugu
"NextJS, NodeJS & Firebase Development",Wecofy,Work From Home,Immediately,3,3000,No,Hybrid,Urban,Data Science,"Node.js, APIs, Databases, Server-side Development",09-11-25,BSc,0,22,Punjabi
Content Writing,Jones Asset Management,Bangalore,Immediately,3,15000,No,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",18-10-25,MTech,1,14,Kannada
Mobile App Development,NewsViews,Work From Home,Immediately,3,7000,Yes,Hybrid,Rural,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",08-10-25,BTech,1,24,Gujarati
Human Resources (HR),Talent Trackers HR Private Limited,Pune,Immediately,3,7000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",14-09-25,MCom,1.1,2,Marathi
Social Media Marketing,AMIT NARAIN,Jabalpur,Immediately,3,5500,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",25-10-25,MBA,0.3,6,Hindi
Frontend Web Development,TechBinge India Private Limited,Delhi,Immediately,3,10000,No,Remote,Urban,Web Development,"HTML, CSS, JavaScript, React",14-11-25,BSc,0.8,20,Hindi
Digital Marketing,Pari - The Fashion Store,Bangalore,Immediately,2,4500,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",11-11-25,BA,0.8,23,Kannada
Legal Research,Social Laws Today,Work From Home,Immediately,2,Unpaid,Yes,Hybrid,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking, Legal Research, Compliance",30-11-25,MBA,1.3,3,Marathi
Sales & Marketing,National Program On Career Awareness,Work From Home,Immediately,2,5000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",09-11-25,BBA,0.2,25,Telugu
Telecalling,Yoctel Solutions Private Limited,Delhi,Immediately,2,10000,No,Onsite,Rural,Outreach & Client Relations,"Communication, MS Excel, Research",29-10-25,BCom,1,21,Hindi
Technical,Coditas Solutions Private Limited,Pune,Not specified,2,11000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",20-09-25,BCom,0.3,15,Marathi
Web Development,Proptelligence Technologies,Work From Home,Immediately,2,5000,No,Remote,Rural,Web Development,"HTML, CSS, JavaScript, React",22-09-25,BSc,1,23,Telugu
Machine Learning,Mentorness,Work From Home,Immediately,2,1000,No,Onsite,Rural,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",13-10-25,MSc,1.3,14,Bengali
Marketing Executive,WebMantra Technologies,Kolkata,Immediately,2,10000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",27-11-25,MA,0.3,17,Bengali
Backend Development,Hookfish,Work From Home,Immediately,2,10000,Yes,Onsite,Urban,Data Science,"Node.js, APIs, Databases, Server-side Development",15-10-25,BTech,0.3,21,Kannada
Powerbi Analytics,Trames Private Limited,Work From Home,Immediately,2,10000,Yes,Onsite,Urban,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization",02-10-25,BCA,1.1,17,Punjabi
Graphic Design,Axis Enterprises,Ludhiana,Immediately,2,10000,No,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",14-11-25,BBA,0,18,Hindi
Business Development (Sales),Innate AI,Work From Home,Immediately,2,8000,No,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",20-09-25,MSc,0.3,24,Telugu
Human Resources (HR),IPA Indus Parking Services Private Limited,Gurgaon,Immediately,2,10000,Yes,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",03-11-25,MCom,0,16,Hindi
Social Media/Digital Marketing Marketing,Seiko Media By Digixom Solutions,Work From Home,Immediately,2,7000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",25-09-25,MA,0,2,Kannada
International Business Development,BEDO Design Agency,Work From Home,Immediately,2,1000,Yes,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication, MS Excel, Research",05-10-25,BSc,0.8,29,Malayalam
Digital Marketing,Futuready Media,Mumbai,Immediately,2,5000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",20-11-25,MA,0.3,14,Marathi
Human Resources (HR),Softone HR Solutions Pvt Ltd,Chennai,Immediately,2,5000,No,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",09-11-25,BCom,0.2,12,Tamil
AWS Development - Python,AppiVa Software Private Limited,Work From Home,Immediately,2,7000,Yes,Hybrid,Urban,Research & Strategy,"Python, APIs, Django/Flask, Data Analysis, Machine Learning, Cloud Computing",30-10-25,MSc,0,21,Bengali
Human Resources (HR),Loadshare Networks Private Limited,Bangalore,Immediately,2,20000,Yes,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",20-09-25,MCom,1.1,21,Kannada
Psychology,Early Brain Magic,Work From Home,Immediately,2,3000,No,Remote,Urban,Research,"Communication, MS Excel, Research",08-11-25,BBA,0.8,21,Punjabi
Product Management,AppBroda,Work From Home,Immediately,2,10000,Yes,Hybrid,Urban,Research & Strategy,"PR Strategy, Media Relations, Communication, Writing",03-10-25,BCom,1.1,15,Punjabi
Estimation And Costing Engineering (Civil),Vivid Storeys LLP,Bangalore,Immediately,2,12000,No,Remote,Rural,Research,"Communication, MS Excel, Research",15-09-25,BBA,1.3,15,Kannada
Business Development (Sales),Virtual Conect Solutions,Work From Home,Immediately,2,5000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",06-11-25,MTech,1.3,18,Malayalam
Human Resources (HR),Spectrum Broking Private Ltd,Delhi,Immediately,2,10000,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",19-11-25,BCom,0.8,23,Hindi
Accounting & Tally,Brahmani Business Management Private Limited,Delhi,Immediately,2,17000,No,Onsite,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",21-10-25,MCom,0.2,1,Hindi
Accounting & Bookkeeping,One Point Taxpert Private Limited,Delhi,Immediately,2,4000,No,Onsite,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",14-09-25,MCom,1,28,Hindi
